"plot","trt","trt.full","num","poc.stock","soc.stock","tc.stock","sand","silt","clay","bd","moisture","temperature","ph","p","k","ca","mg","no3","nh4","cec"
"A1","A","Balled-and-burlapped","1",12.8803342828208,67.4156607930595,111.439573063207,35.4,46.8,17.8,0.951033882396184,0.282954102483198,16.1,7.68,107.8,54.2,6450.4,474.8,9.9,1.22,36.32
"A2","A","Balled-and-burlapped","2",14.5983862103157,77.7355090297657,116.147530022276,39.2,44.6,16.2,0.938171817392415,0.276349367601539,17.02,7.68,110.8,68.2,7492.2,523.8,12.54,1,42
"A3","A","Balled-and-burlapped","3",16.1879416554479,75.0855908884793,111.989510581422,39.6,42.2,18.2,0.969372914636407,0.249572975295859,16.16,7.72,115.6,64,6165.4,546.4,7.02,1.22,35.52
"B1","B","Bareroot","1",18.0657877112072,77.0604542442642,109.410430172854,39.6,43.4,17,0.891229909098099,0.261776654100166,16.06,7.78,112,70.6,6885.8,578.8,8.32,1,39.44
"B2","B","Bareroot","2",16.3566987168954,72.0896603522329,110.068849442025,40,41,19,0.899797617971196,0.264257367451522,16.5,7.72,123,70,6165.8,547.8,7.06,1.3,35.58
"B3","B","Bareroot","3",14.18364548133,65.7171241243347,95.6562480133622,38.6,43.6,17.8,0.780290558911022,0.244801169814095,16.64,7.72,109.4,55.2,6227,550.8,6.96,1.04,35.84
"C1","C","Seedling","1",17.7805601319679,67.9399272440326,118.728858699174,42.6,42.8,14.6,0.893201741603492,0.285869837158861,15.84,7.7,107.4,53.6,6762.2,524.2,8.72,1,38.32
"C2","C","Seedling","2",10.3345836574523,69.2751486424641,103.268977823226,37.8,44.4,17.8,0.874711342855837,0.234991406546842,16.52,7.66,114,50,6262.2,539.4,7.28,1,35.92
"C3","C","Seedling","3",8.96979415957135,68.522959814072,97.7883274508922,40,42.2,17.8,0.813173140222722,0.242684545713837,16.02,7.6,111.6,58.6,6082.6,563.2,8.56,1.04,35.26
"D1","D","Acorn","1",11.9481811239014,61.6320153597145,92.8742489727503,40.6,41.6,17.8,0.75376277583879,0.341401081640225,16.72,7.6,113.2,82,6651.6,548.6,11.04,1.02,38.04
"D2","D","Acorn","2",15.8824060376607,63.2616176821567,90.6182878850145,37.6,47.4,15,0.758065007724495,0.280197293597501,17.26,7.6,97.6,79,7768.8,528.8,11.74,1.22,43.46
"D3","D","Acorn","3",16.0331440235427,67.4564875522622,103.924096877611,42.2,38.8,19,0.812320009358508,0.294415177430239,18.2,7.7,122.4,93.4,6835.2,572.8,10.16,1.06,39.2
"E1","E","Seedbank","1",19.6318063014052,80.3011043813325,116.094749811222,45.8,37.6,16.6,0.846237160232759,0.305834081682367,16.5,7.5,97,79.8,6425.8,508.8,10.92,1.02,36.58
"E2","E","Seedbank","2",17.9149009055915,78.2207030462209,110.335504730297,39.4,43.2,17.4,0.900257032359646,0.279911561326906,17.16,7.64,109.2,66.8,6956.4,554,9.08,1,39.56
"E3","E","Seedbank","3",13.2859917139013,77.9787121579371,105.828384854138,38,43.8,18.2,0.914252535821159,0.279152939978295,17.48,7.66,116.8,85,6528.8,520.8,8.02,1,37.2
"R1","R","Reference","1",17.2211943413756,95.2968634084703,113.658279489903,46.6,38.4,15,0.979964812059518,0.276960751905097,15.9,7.42,80.6,50.2,5914.8,648.4,10.88,1,35.32
"R2","R","Reference","2",15.6474001529418,84.4719648270341,91.8834613662409,40.4,43.4,16.2,0.893071758409662,0.305667318904413,16.4,7.6,79.8,50.8,6367.8,614,9.84,1,37.1
"R3","R","Reference","3",16.0169919826555,81.8910321011809,86.5345249738245,49.8,32.8,17.4,0.927384223933619,0.310559868933417,18.06,7.48,84,88,5800.4,745.2,9.54,1.32,35.48
